session_id,timestamp,window_name,region,cdn,device,startup_time,buffer_duration,playback_duration,play_success
prior_year-east-cdnc-03,2025-09-01 11:04:02,prior_year,华东,CDN-C,mobile,564.0,0.73,606.0,true
prior_year-east-cdnc-04,2025-09-01 11:06:02,prior_year,华东,CDN-C,web,582.0,0.43,636.0,true
prior_year-east-cdnc-05,2025-09-01 11:08:02,prior_year,华东,CDN-C,tv,510.0,0.53,666.0,true
prior_year-east-cdnc-06,2025-09-01 11:10:02,prior_year,华东,CDN-C,mobile,528.0,0.63,516.0,true
prior_year-east-cdnc-07,2025-09-01 11:12:02,prior_year,华东,CDN-C,web,546.0,0.73,546.0,true
prior_year-east-cdnc-08,2025-09-01 11:14:02,prior_year,华东,CDN-C,tv,564.0,0.43,576.0,true
prior_year-east-cdnc-09,2025-09-01 11:16:02,prior_year,华东,CDN-C,mobile,582.0,0.53,606.0,true
prior_year-east-cdnc-10,2025-09-01 11:18:02,prior_year,华东,CDN-C,web,510.0,0.63,636.0,true
prior_year-east-cdnc-11,2025-09-01 11:20:02,prior_year,华东,CDN-C,tv,528.0,0.73,666.0,true
prior_year-east-cdnc-12,2025-09-01 11:22:02,prior_year,华东,CDN-C,mobile,546.0,0.43,516.0,true
prior_year-east-cdnc-13,2025-09-01 11:24:02,prior_year,华东,CDN-C,web,564.0,0.53,546.0,true
prior_year-east-cdnc-14,2025-09-01 11:26:02,prior_year,华东,CDN-C,tv,582.0,0.63,576.0,true
prior_year-east-cdnc-15,2025-09-01 11:28:02,prior_year,华东,CDN-C,mobile,510.0,0.73,606.0,true
prior_year-east-cdnc-16,2025-09-01 11:30:02,prior_year,华东,CDN-C,web,528.0,0.43,636.0,true
prior_year-east-cdnc-17,2025-09-01 11:32:02,prior_year,华东,CDN-C,tv,546.0,0.53,666.0,true
prior_year-east-cdnc-18,2025-09-01 11:34:02,prior_year,华东,CDN-C,mobile,564.0,0.63,516.0,true
prior_year-east-cdnc-19,2025-09-01 11:36:02,prior_year,华东,CDN-C,web,882.0,3.73,546.0,false
prior_year-east-cdnc-20,2025-09-01 11:38:02,prior_year,华东,CDN-C,tv,810.0,3.43,576.0,false
prior_year-south-cdna-01,2025-09-01 11:00:05,prior_year,华南,CDN-A,web,513.0,0.51,542.0,true
prior_year-south-cdna-02,2025-09-01 11:02:05,prior_year,华南,CDN-A,tv,531.0,0.61,572.0,true
prior_year-south-cdna-03,2025-09-01 11:04:05,prior_year,华南,CDN-A,mobile,549.0,0.71,602.0,true
prior_year-south-cdna-04,2025-09-01 11:06:05,prior_year,华南,CDN-A,web,567.0,0.41,632.0,true
prior_year-south-cdna-05,2025-09-01 11:08:05,prior_year,华南,CDN-A,tv,495.0,0.51,662.0,true
prior_year-south-cdna-06,2025-09-01 11:10:05,prior_year,华南,CDN-A,mobile,513.0,0.61,512.0,true
prior_year-south-cdna-07,2025-09-01 11:12:05,prior_year,华南,CDN-A,web,531.0,0.71,542.0,true
prior_year-south-cdna-08,2025-09-01 11:14:05,prior_year,华南,CDN-A,tv,549.0,0.41,572.0,true
prior_year-south-cdna-09,2025-09-01 11:16:05,prior_year,华南,CDN-A,mobile,567.0,0.51,602.0,true
prior_year-south-cdna-10,2025-09-01 11:18:05,prior_year,华南,CDN-A,web,495.0,0.61,632.0,true
prior_year-south-cdna-11,2025-09-01 11:20:05,prior_year,华南,CDN-A,tv,513.0,0.71,662.0,true
prior_year-south-cdna-12,2025-09-01 11:22:05,prior_year,华南,CDN-A,mobile,531.0,0.41,512.0,true
prior_year-south-cdna-13,2025-09-01 11:24:05,prior_year,华南,CDN-A,web,549.0,0.51,542.0,true
prior_year-south-cdna-14,2025-09-01 11:26:05,prior_year,华南,CDN-A,tv,567.0,0.61,572.0,true
prior_year-south-cdna-15,2025-09-01 11:28:05,prior_year,华南,CDN-A,mobile,495.0,0.71,602.0,true
prior_year-south-cdna-16,2025-09-01 11:30:05,prior_year,华南,CDN-A,web,513.0,0.41,632.0,true
prior_year-south-cdna-17,2025-09-01 11:32:05,prior_year,华南,CDN-A,tv,531.0,0.51,662.0,true
prior_year-south-cdna-18,2025-09-01 11:34:05,prior_year,华南,CDN-A,mobile,549.0,0.61,512.0,true
prior_year-south-cdna-19,2025-09-01 11:36:05,prior_year,华南,CDN-A,web,567.0,0.71,542.0,true
prior_year-south-cdna-20,2025-09-01 11:38:05,prior_year,华南,CDN-A,tv,795.0,3.41,572.0,false
prior_year-south-cdnb-01,2025-09-01 11:00:06,prior_year,华南,CDN-B,web,538.0,0.56,550.0,true
prior_year-south-cdnb-02,2025-09-01 11:02:06,prior_year,华南,CDN-B,tv,556.0,0.66,580.0,true
prior_year-south-cdnb-03,2025-09-01 11:04:06,prior_year,华南,CDN-B,mobile,574.0,0.76,610.0,true
prior_year-south-cdnb-04,2025-09-01 11:06:06,prior_year,华南,CDN-B,web,592.0,0.46,640.0,true
prior_year-south-cdnb-05,2025-09-01 11:08:06,prior_year,华南,CDN-B,tv,520.0,0.56,670.0,true
prior_year-south-cdnb-06,2025-09-01 11:10:06,prior_year,华南,CDN-B,mobile,538.0,0.66,520.0,true
prior_year-south-cdnb-07,2025-09-01 11:12:06,prior_year,华南,CDN-B,web,556.0,0.76,550.0,true
prior_year-south-cdnb-08,2025-09-01 11:14:06,prior_year,华南,CDN-B,tv,574.0,0.46,580.0,true
prior_year-south-cdnb-09,2025-09-01 11:16:06,prior_year,华南,CDN-B,mobile,592.0,0.56,610.0,true
prior_year-south-cdnb-10,2025-09-01 11:18:06,prior_year,华南,CDN-B,web,520.0,0.66,640.0,true
prior_year-south-cdnb-11,2025-09-01 11:20:06,prior_year,华南,CDN-B,tv,538.0,0.76,670.0,true
prior_year-south-cdnb-12,2025-09-01 11:22:06,prior_year,华南,CDN-B,mobile,556.0,0.46,520.0,true
prior_year-south-cdnb-13,2025-09-01 11:24:06,prior_year,华南,CDN-B,web,574.0,0.56,550.0,true
prior_year-south-cdnb-14,2025-09-01 11:26:06,prior_year,华南,CDN-B,tv,592.0,0.66,580.0,true
prior_year-south-cdnb-15,2025-09-01 11:28:06,prior_year,华南,CDN-B,mobile,520.0,0.76,610.0,true
prior_year-south-cdnb-16,2025-09-01 11:30:06,prior_year,华南,CDN-B,web,538.0,0.46,640.0,true
prior_year-south-cdnb-17,2025-09-01 11:32:06,prior_year,华南,CDN-B,tv,556.0,0.56,670.0,true
prior_year-south-cdnb-18,2025-09-01 11:34:06,prior_year,华南,CDN-B,mobile,574.0,0.66,520.0,true
prior_year-south-cdnb-19,2025-09-01 11:36:06,prior_year,华南,CDN-B,web,892.0,3.76,550.0,false
prior_year-south-cdnb-20,2025-09-01 11:38:06,prior_year,华南,CDN-B,tv,820.0,3.46,580.0,false
prior_year-south-cdnc-01,2025-09-01 11:00:07,prior_year,华南,CDN-C,web,563.0,0.61,558.0,true
prior_year-south-cdnc-02,2025-09-01 11:02:07,prior_year,华南,CDN-C,tv,581.0,0.71,588.0,true
prior_year-south-cdnc-03,2025-09-01 11:04:07,prior_year,华南,CDN-C,mobile,599.0,0.81,618.0,true
prior_year-south-cdnc-04,2025-09-01 11:06:07,prior_year,华南,CDN-C,web,617.0,0.51,648.0,true
prior_year-south-cdnc-05,2025-09-01 11:08:07,prior_year,华南,CDN-C,tv,545.0,0.61,678.0,true
prior_year-south-cdnc-06,2025-09-01 11:10:07,prior_year,华南,CDN-C,mobile,563.0,0.71,528.0,true
prior_year-south-cdnc-07,2025-09-01 11:12:07,prior_year,华南,CDN-C,web,581.0,0.81,558.0,true
prior_year-south-cdnc-08,2025-09-01 11:14:07,prior_year,华南,CDN-C,tv,599.0,0.51,588.0,true
prior_year-south-cdnc-09,2025-09-01 11:16:07,prior_year,华南,CDN-C,mobile,617.0,0.61,618.0,true
prior_year-south-cdnc-10,2025-09-01 11:18:07,prior_year,华南,CDN-C,web,545.0,0.71,648.0,true
prior_year-south-cdnc-11,2025-09-01 11:20:07,prior_year,华南,CDN-C,tv,563.0,0.81,678.0,true
prior_year-south-cdnc-12,2025-09-01 11:22:07,prior_year,华南,CDN-C,mobile,581.0,0.51,528.0,true
prior_year-south-cdnc-13,2025-09-01 11:24:07,prior_year,华南,CDN-C,web,599.0,0.61,558.0,true
prior_year-south-cdnc-14,2025-09-01 11:26:07,prior_year,华南,CDN-C,tv,617.0,0.71,588.0,true
prior_year-south-cdnc-15,2025-09-01 11:28:07,prior_year,华南,CDN-C,mobile,545.0,0.81,618.0,true
prior_year-south-cdnc-16,2025-09-01 11:30:07,prior_year,华南,CDN-C,web,563.0,0.51,648.0,true
prior_year-south-cdnc-17,2025-09-01 11:32:07,prior_year,华南,CDN-C,tv,581.0,0.61,678.0,true
prior_year-south-cdnc-18,2025-09-01 11:34:07,prior_year,华南,CDN-C,mobile,599.0,0.71,528.0,true
prior_year-south-cdnc-19,2025-09-01 11:36:07,prior_year,华南,CDN-C,web,917.0,3.81,558.0,false
prior_year-south-cdnc-20,2025-09-01 11:38:07,prior_year,华南,CDN-C,tv,845.0,3.51,588.0,false
prior_year-north-cdna-01,2025-09-01 11:00:10,prior_year,华北,CDN-A,web,548.0,0.59,554.0,true
prior_year-north-cdna-02,2025-09-01 11:02:10,prior_year,华北,CDN-A,tv,566.0,0.69,584.0,true
prior_year-north-cdna-03,2025-09-01 11:04:10,prior_year,华北,CDN-A,mobile,584.0,0.79,614.0,true
prior_year-north-cdna-04,2025-09-01 11:06:10,prior_year,华北,CDN-A,web,602.0,0.49,644.0,true
prior_year-north-cdna-05,2025-09-01 11:08:10,prior_year,华北,CDN-A,tv,530.0,0.59,674.0,true
prior_year-north-cdna-06,2025-09-01 11:10:10,prior_year,华北,CDN-A,mobile,548.0,0.69,524.0,true
prior_year-north-cdna-07,2025-09-01 11:12:10,prior_year,华北,CDN-A,web,566.0,0.79,554.0,true
prior_year-north-cdna-08,2025-09-01 11:14:10,prior_year,华北,CDN-A,tv,584.0,0.49,584.0,true
prior_year-north-cdna-09,2025-09-01 11:16:10,prior_year,华北,CDN-A,mobile,602.0,0.59,614.0,true
prior_year-north-cdna-10,2025-09-01 11:18:10,prior_year,华北,CDN-A,web,530.0,0.69,644.0,true
prior_year-north-cdna-11,2025-09-01 11:20:10,prior_year,华北,CDN-A,tv,548.0,0.79,674.0,true
prior_year-north-cdna-12,2025-09-01 11:22:10,prior_year,华北,CDN-A,mobile,566.0,0.49,524.0,true
prior_year-north-cdna-13,2025-09-01 11:24:10,prior_year,华北,CDN-A,web,584.0,0.59,554.0,true
prior_year-north-cdna-14,2025-09-01 11:26:10,prior_year,华北,CDN-A,tv,602.0,0.69,584.0,true
prior_year-north-cdna-15,2025-09-01 11:28:10,prior_year,华北,CDN-A,mobile,530.0,0.79,614.0,true
prior_year-north-cdna-16,2025-09-01 11:30:10,prior_year,华北,CDN-A,web,548.0,0.49,644.0,true
prior_year-north-cdna-17,2025-09-01 11:32:10,prior_year,华北,CDN-A,tv,566.0,0.59,674.0,true
prior_year-north-cdna-18,2025-09-01 11:34:10,prior_year,华北,CDN-A,mobile,584.0,0.69,524.0,true
prior_year-north-cdna-19,2025-09-01 11:36:10,prior_year,华北,CDN-A,web,902.0,3.79,554.0,false
prior_year-north-cdna-20,2025-09-01 11:38:10,prior_year,华北,CDN-A,tv,830.0,3.49,584.0,false
prior_year-north-cdnb-01,2025-09-01 11:00:11,prior_year,华北,CDN-B,web,573.0,0.64,562.0,true
prior_year-north-cdnb-02,2025-09-01 11:02:11,prior_year,华北,CDN-B,tv,591.0,0.74,592.0,true
prior_year-north-cdnb-03,2025-09-01 11:04:11,prior_year,华北,CDN-B,mobile,609.0,0.84,622.0,true
prior_year-north-cdnb-04,2025-09-01 11:06:11,prior_year,华北,CDN-B,web,627.0,0.54,652.0,true
prior_year-north-cdnb-05,2025-09-01 11:08:11,prior_year,华北,CDN-B,tv,555.0,0.64,682.0,true
prior_year-north-cdnb-06,2025-09-01 11:10:11,prior_year,华北,CDN-B,mobile,573.0,0.74,532.0,true
prior_year-north-cdnb-07,2025-09-01 11:12:11,prior_year,华北,CDN-B,web,591.0,0.84,562.0,true
prior_year-north-cdnb-08,2025-09-01 11:14:11,prior_year,华北,CDN-B,tv,609.0,0.54,592.0,true
prior_year-north-cdnb-09,2025-09-01 11:16:11,prior_year,华北,CDN-B,mobile,627.0,0.64,622.0,true
prior_year-north-cdnb-10,2025-09-01 11:18:11,prior_year,华北,CDN-B,web,555.0,0.74,652.0,true
prior_year-north-cdnb-11,2025-09-01 11:20:11,prior_year,华北,CDN-B,tv,573.0,0.84,682.0,true
prior_year-north-cdnb-12,2025-09-01 11:22:11,prior_year,华北,CDN-B,mobile,591.0,0.54,532.0,true
prior_year-north-cdnb-13,2025-09-01 11:24:11,prior_year,华北,CDN-B,web,609.0,0.64,562.0,true
prior_year-north-cdnb-14,2025-09-01 11:26:11,prior_year,华北,CDN-B,tv,627.0,0.74,592.0,true
prior_year-north-cdnb-15,2025-09-01 11:28:11,prior_year,华北,CDN-B,mobile,555.0,0.84,622.0,true
prior_year-north-cdnb-16,2025-09-01 11:30:11,prior_year,华北,CDN-B,web,573.0,0.54,652.0,true
prior_year-north-cdnb-17,2025-09-01 11:32:11,prior_year,华北,CDN-B,tv,591.0,0.64,682.0,true
prior_year-north-cdnb-18,2025-09-01 11:34:11,prior_year,华北,CDN-B,mobile,609.0,0.74,532.0,true
prior_year-north-cdnb-19,2025-09-01 11:36:11,prior_year,华北,CDN-B,web,927.0,3.84,562.0,false
prior_year-north-cdnb-20,2025-09-01 11:38:11,prior_year,华北,CDN-B,tv,855.0,3.54,592.0,false
prior_year-north-cdnc-01,2025-09-01 11:00:12,prior_year,华北,CDN-C,web,598.0,0.69,570.0,true
prior_year-north-cdnc-02,2025-09-01 11:02:12,prior_year,华北,CDN-C,tv,616.0,0.79,600.0,true
prior_year-north-cdnc-03,2025-09-01 11:04:12,prior_year,华北,CDN-C,mobile,634.0,0.89,630.0,true
prior_year-north-cdnc-04,2025-09-01 11:06:12,prior_year,华北,CDN-C,web,652.0,0.59,660.0,true
prior_year-north-cdnc-05,2025-09-01 11:08:12,prior_year,华北,CDN-C,tv,580.0,0.69,690.0,true
prior_year-north-cdnc-06,2025-09-01 11:10:12,prior_year,华北,CDN-C,mobile,598.0,0.79,540.0,true
prior_year-north-cdnc-07,2025-09-01 11:12:12,prior_year,华北,CDN-C,web,616.0,0.89,570.0,true
prior_year-north-cdnc-08,2025-09-01 11:14:12,prior_year,华北,CDN-C,tv,634.0,0.59,600.0,true
prior_year-north-cdnc-09,2025-09-01 11:16:12,prior_year,华北,CDN-C,mobile,652.0,0.69,630.0,true
prior_year-north-cdnc-10,2025-09-01 11:18:12,prior_year,华北,CDN-C,web,580.0,0.79,660.0,true
prior_year-north-cdnc-11,2025-09-01 11:20:12,prior_year,华北,CDN-C,tv,598.0,0.89,690.0,true
prior_year-north-cdnc-12,2025-09-01 11:22:12,prior_year,华北,CDN-C,mobile,616.0,0.59,540.0,true
prior_year-north-cdnc-13,2025-09-01 11:24:12,prior_year,华北,CDN-C,web,634.0,0.69,570.0,true
prior_year-north-cdnc-14,2025-09-01 11:26:12,prior_year,华北,CDN-C,tv,652.0,0.79,600.0,true
prior_year-north-cdnc-15,2025-09-01 11:28:12,prior_year,华北,CDN-C,mobile,580.0,0.89,630.0,true
prior_year-north-cdnc-16,2025-09-01 11:30:12,prior_year,华北,CDN-C,web,598.0,0.59,660.0,true
prior_year-north-cdnc-17,2025-09-01 11:32:12,prior_year,华北,CDN-C,tv,616.0,0.69,690.0,true
prior_year-north-cdnc-18,2025-09-01 11:34:12,prior_year,华北,CDN-C,mobile,634.0,0.79,540.0,true
prior_year-north-cdnc-19,2025-09-01 11:36:12,prior_year,华北,CDN-C,web,652.0,0.89,570.0,true
prior_year-north-cdnc-20,2025-09-01 11:38:12,prior_year,华北,CDN-C,tv,880.0,3.59,600.0,false
previous_day-east-cdna-01,2026-08-31 11:00:00,previous_day,华东,CDN-A,web,478.0,0.43,530.0,true
previous_day-east-cdna-02,2026-08-31 11:02:00,previous_day,华东,CDN-A,tv,496.0,0.53,560.0,true
previous_day-east-cdna-03,2026-08-31 11:04:00,previous_day,华东,CDN-A,mobile,514.0,0.63,590.0,true
previous_day-east-cdna-04,2026-08-31 11:06:00,previous_day,华东,CDN-A,web,532.0,0.33,620.0,true
previous_day-east-cdna-05,2026-08-31 11:08:00,previous_day,华东,CDN-A,tv,460.0,0.43,650.0,true
previous_day-east-cdna-06,2026-08-31 11:10:00,previous_day,华东,CDN-A,mobile,478.0,0.53,500.0,true
previous_day-east-cdna-07,2026-08-31 11:12:00,previous_day,华东,CDN-A,web,496.0,0.63,530.0,true
previous_day-east-cdna-08,2026-08-31 11:14:00,previous_day,华东,CDN-A,tv,514.0,0.33,560.0,true
previous_day-east-cdna-09,2026-08-31 11:16:00,previous_day,华东,CDN-A,mobile,532.0,0.43,590.0,true
previous_day-east-cdna-10,2026-08-31 11:18:00,previous_day,华东,CDN-A,web,460.0,0.53,620.0,true
previous_day-east-cdna-11,2026-08-31 11:20:00,previous_day,华东,CDN-A,tv,478.0,0.63,650.0,true
previous_day-east-cdna-12,2026-08-31 11:22:00,previous_day,华东,CDN-A,mobile,496.0,0.33,500.0,true
previous_day-east-cdna-13,2026-08-31 11:24:00,previous_day,华东,CDN-A,web,514.0,0.43,530.0,true
previous_day-east-cdna-14,2026-08-31 11:26:00,previous_day,华东,CDN-A,tv,532.0,0.53,560.0,true
previous_day-east-cdna-15,2026-08-31 11:28:00,previous_day,华东,CDN-A,mobile,460.0,0.63,590.0,true
previous_day-east-cdna-16,2026-08-31 11:30:00,previous_day,华东,CDN-A,web,478.0,0.33,620.0,true
previous_day-east-cdna-17,2026-08-31 11:32:00,previous_day,华东,CDN-A,tv,496.0,0.43,650.0,true
previous_day-east-cdna-18,2026-08-31 11:34:00,previous_day,华东,CDN-A,mobile,514.0,0.53,500.0,true
previous_day-east-cdna-19,2026-08-31 11:36:00,previous_day,华东,CDN-A,web,532.0,0.63,530.0,true
previous_day-east-cdna-20,2026-08-31 11:38:00,previous_day,华东,CDN-A,tv,760.0,3.33,560.0,false
previous_day-east-cdnb-01,2026-08-31 11:00:01,previous_day,华东,CDN-B,web,503.0,0.48,538.0,true
previous_day-east-cdnb-02,2026-08-31 11:02:01,previous_day,华东,CDN-B,tv,521.0,0.58,568.0,true
previous_day-east-cdnb-03,2026-08-31 11:04:01,previous_day,华东,CDN-B,mobile,539.0,0.68,598.0,true
previous_day-east-cdnb-04,2026-08-31 11:06:01,previous_day,华东,CDN-B,web,557.0,0.38,628.0,true
previous_day-east-cdnb-05,2026-08-31 11:08:01,previous_day,华东,CDN-B,tv,485.0,0.48,658.0,true
previous_day-east-cdnb-06,2026-08-31 11:10:01,previous_day,华东,CDN-B,mobile,503.0,0.58,508.0,true
previous_day-east-cdnb-07,2026-08-31 11:12:01,previous_day,华东,CDN-B,web,521.0,0.68,538.0,true
previous_day-east-cdnb-08,2026-08-31 11:14:01,previous_day,华东,CDN-B,tv,539.0,0.38,568.0,true
previous_day-east-cdnb-09,2026-08-31 11:16:01,previous_day,华东,CDN-B,mobile,557.0,0.48,598.0,true
previous_day-east-cdnb-10,2026-08-31 11:18:01,previous_day,华东,CDN-B,web,485.0,0.58,628.0,true
previous_day-east-cdnb-11,2026-08-31 11:20:01,previous_day,华东,CDN-B,tv,503.0,0.68,658.0,true
previous_day-east-cdnb-12,2026-08-31 11:22:01,previous_day,华东,CDN-B,mobile,521.0,0.38,508.0,true
previous_day-east-cdnb-13,2026-08-31 11:24:01,previous_day,华东,CDN-B,web,539.0,0.48,538.0,true
previous_day-east-cdnb-14,2026-08-31 11:26:01,previous_day,华东,CDN-B,tv,557.0,0.58,568.0,true
previous_day-east-cdnb-15,2026-08-31 11:28:01,previous_day,华东,CDN-B,mobile,485.0,0.68,598.0,true
previous_day-east-cdnb-16,2026-08-31 11:30:01,previous_day,华东,CDN-B,web,503.0,0.38,628.0,true
previous_day-east-cdnb-17,2026-08-31 11:32:01,previous_day,华东,CDN-B,tv,521.0,0.48,658.0,true
previous_day-east-cdnb-18,2026-08-31 11:34:01,previous_day,华东,CDN-B,mobile,539.0,0.58,508.0,true
previous_day-east-cdnb-19,2026-08-31 11:36:01,previous_day,华东,CDN-B,web,557.0,0.68,538.0,true
previous_day-east-cdnb-20,2026-08-31 11:38:01,previous_day,华东,CDN-B,tv,785.0,3.38,568.0,false
previous_day-east-cdnc-01,2026-08-31 11:00:02,previous_day,华东,CDN-C,web,528.0,0.53,546.0,true
previous_day-east-cdnc-02,2026-08-31 11:02:02,previous_day,华东,CDN-C,tv,546.0,0.63,576.0,true
previous_day-east-cdnc-03,2026-08-31 11:04:02,previous_day,华东,CDN-C,mobile,564.0,0.73,606.0,true
previous_day-east-cdnc-04,2026-08-31 11:06:02,previous_day,华东,CDN-C,web,582.0,0.43,636.0,true
previous_day-east-cdnc-05,2026-08-31 11:08:02,previous_day,华东,CDN-C,tv,510.0,0.53,666.0,true
previous_day-east-cdnc-06,2026-08-31 11:10:02,previous_day,华东,CDN-C,mobile,528.0,0.63,516.0,true
previous_day-east-cdnc-07,2026-08-31 11:12:02,previous_day,华东,CDN-C,web,546.0,0.73,546.0,true
previous_day-east-cdnc-08,2026-08-31 11:14:02,previous_day,华东,CDN-C,tv,564.0,0.43,576.0,true
previous_day-east-cdnc-09,2026-08-31 11:16:02,previous_day,华东,CDN-C,mobile,582.0,0.53,606.0,true
previous_day-east-cdnc-10,2026-08-31 11:18:02,previous_day,华东,CDN-C,web,510.0,0.63,636.0,true
previous_day-east-cdnc-11,2026-08-31 11:20:02,previous_day,华东,CDN-C,tv,528.0,0.73,666.0,true
previous_day-east-cdnc-12,2026-08-31 11:22:02,previous_day,华东,CDN-C,mobile,546.0,0.43,516.0,true
previous_day-east-cdnc-13,2026-08-31 11:24:02,previous_day,华东,CDN-C,web,564.0,0.53,546.0,true
previous_day-east-cdnc-14,2026-08-31 11:26:02,previous_day,华东,CDN-C,tv,582.0,0.63,576.0,true
previous_day-east-cdnc-15,2026-08-31 11:28:02,previous_day,华东,CDN-C,mobile,510.0,0.73,606.0,true
previous_day-east-cdnc-16,2026-08-31 11:30:02,previous_day,华东,CDN-C,web,528.0,0.43,636.0,true
previous_day-east-cdnc-17,2026-08-31 11:32:02,previous_day,华东,CDN-C,tv,546.0,0.53,666.0,true
previous_day-east-cdnc-18,2026-08-31 11:34:02,previous_day,华东,CDN-C,mobile,564.0,0.63,516.0,true
previous_day-east-cdnc-19,2026-08-31 11:36:02,previous_day,华东,CDN-C,web,882.0,3.73,546.0,false
previous_day-east-cdnc-20,2026-08-31 11:38:02,previous_day,华东,CDN-C,tv,810.0,3.43,576.0,false
previous_day-south-cdna-01,2026-08-31 11:00:05,previous_day,华南,CDN-A,web,513.0,0.51,542.0,true
